,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-25,Ada,Idaho,16001,48713,448,0.118,0.078,0.084,0.194,0.526
1,2021-03-25,Adams,Idaho,16003,336,4,0.094,0.216,0.218,0.218,0.254
2,2021-03-25,Bannock,Idaho,16005,8315,98,0.084,0.193,0.176,0.195,0.352
3,2021-03-25,Bear Lake,Idaho,16007,369,2,0.151,0.12,0.102,0.243,0.385
4,2021-03-25,Benewah,Idaho,16009,645,9,0.038,0.059,0.15,0.152,0.601
5,2021-03-25,Bingham,Idaho,16011,4633,69,0.095,0.197,0.175,0.229,0.304
6,2021-03-25,Blaine,Idaho,16013,2235,17,0.155,0.107,0.102,0.13,0.506
7,2021-03-25,Boise,Idaho,16015,320,2,0.057,0.038,0.038,0.549,0.318
8,2021-03-25,Bonner,Idaho,16017,3081,38,0.088,0.116,0.119,0.241,0.436
9,2021-03-25,Bonneville,Idaho,16019,13807,157,0.096,0.202,0.188,0.247,0.268
10,2021-03-25,Boundary,Idaho,16021,841,10,0.045,0.171,0.061,0.185,0.537
11,2021-03-25,Butte,Idaho,16023,202,1,0.107,0.213,0.159,0.222,0.298
12,2021-03-25,Camas,Idaho,16025,71,0,0.186,0.03,0.047,0.098,0.639
13,2021-03-25,Canyon,Idaho,16027,25411,287,0.113,0.095,0.17,0.24,0.381
14,2021-03-25,Caribou,Idaho,16029,643,12,0.1,0.181,0.191,0.202,0.326
15,2021-03-25,Cassia,Idaho,16031,2891,25,0.134,0.223,0.102,0.149,0.392
16,2021-03-25,Clark,Idaho,16033,56,0,0.119,0.228,0.196,0.239,0.218
17,2021-03-25,Clearwater,Idaho,16035,1027,12,0.037,0.112,0.127,0.25,0.475
18,2021-03-25,Custer,Idaho,16037,239,3,0.069,0.029,0.199,0.244,0.458
19,2021-03-25,Elmore,Idaho,16039,1735,13,0.206,0.044,0.038,0.173,0.539
20,2021-03-25,Franklin,Idaho,16041,1128,16,0.131,0.118,0.085,0.256,0.41
21,2021-03-25,Fremont,Idaho,16043,1075,14,0.111,0.206,0.202,0.247,0.233
22,2021-03-25,Gem,Idaho,16045,1727,34,0.119,0.136,0.111,0.198,0.436
23,2021-03-25,Gooding,Idaho,16047,1279,23,0.211,0.202,0.089,0.153,0.345
24,2021-03-25,Idaho,Idaho,16049,1193,17,0.045,0.094,0.164,0.275,0.423
25,2021-03-25,Jefferson,Idaho,16051,2750,22,0.099,0.208,0.192,0.249,0.252
26,2021-03-25,Jerome,Idaho,16053,2533,23,0.175,0.219,0.096,0.167,0.343
27,2021-03-25,Kootenai,Idaho,16055,17131,193,0.146,0.105,0.17,0.22,0.359
28,2021-03-25,Latah,Idaho,16057,2899,8,0.002,0.012,0.066,0.328,0.592
29,2021-03-25,Lemhi,Idaho,16059,516,9,0.109,0.173,0.231,0.125,0.362
30,2021-03-25,Lewis,Idaho,16061,383,9,0.027,0.073,0.157,0.285,0.459
31,2021-03-25,Lincoln,Idaho,16063,491,11,0.18,0.2,0.105,0.135,0.379
32,2021-03-25,Madison,Idaho,16065,6774,23,0.101,0.207,0.196,0.25,0.245
33,2021-03-25,Minidoka,Idaho,16067,2308,32,0.134,0.219,0.106,0.152,0.39
34,2021-03-25,Nez Perce,Idaho,16069,3466,53,0.009,0.03,0.117,0.326,0.517
35,2021-03-25,Oneida,Idaho,16071,343,4,0.083,0.173,0.153,0.185,0.406
36,2021-03-25,Owyhee,Idaho,16073,1033,26,0.123,0.137,0.146,0.171,0.423
37,2021-03-25,Payette,Idaho,16075,2439,32,0.081,0.199,0.174,0.242,0.304
38,2021-03-25,Power,Idaho,16077,654,9,0.078,0.205,0.152,0.185,0.381
39,2021-03-25,Shoshone,Idaho,16079,1043,33,0.068,0.144,0.299,0.147,0.342
40,2021-03-25,Teton,Idaho,16081,1142,4,0.099,0.189,0.19,0.25,0.272
41,2021-03-25,Twin Falls,Idaho,16083,9116,127,0.166,0.222,0.101,0.177,0.335
42,2021-03-25,Valley,Idaho,16085,820,7,0.041,0.118,0.102,0.378,0.361
43,2021-03-25,Washington,Idaho,16087,1196,21,0.136,0.13,0.324,0.172,0.239
