,0,1,2,3,4
21465,2021-03-28,Alabama,01,514391,10526
21466,2021-03-28,Alaska,02,61744,299
21467,2021-03-28,Arizona,04,839888,16919
21468,2021-03-28,Arkansas,05,329929,5595
21469,2021-03-28,California,06,3661303,58900
21470,2021-03-28,Colorado,08,460827,6165
21471,2021-03-28,Connecticut,09,305210,7865
21472,2021-03-28,Delaware,10,94062,1544
21473,2021-03-28,District of Columbia,11,44175,1056
21474,2021-03-28,Florida,12,2043997,33177
21475,2021-03-28,Georgia,13,1030899,18349
21477,2021-03-28,Hawaii,15,29528,459
21478,2021-03-28,Idaho,16,179511,1957
21479,2021-03-28,Illinois,17,1241187,23521
21480,2021-03-28,Indiana,18,687304,13023
21481,2021-03-28,Iowa,19,349714,5725
21482,2021-03-28,Kansas,20,303710,4891
21483,2021-03-28,Kentucky,21,428419,6062
21484,2021-03-28,Louisiana,22,443069,10087
21485,2021-03-28,Maine,23,49850,736
21486,2021-03-28,Maryland,24,408229,8251
21487,2021-03-28,Massachusetts,25,629531,17115
21488,2021-03-28,Michigan,26,723324,17038
21489,2021-03-28,Minnesota,27,515136,6908
21490,2021-03-28,Mississippi,28,304616,7001
21491,2021-03-28,Missouri,29,583530,8943
21492,2021-03-28,Montana,30,104184,1436
21493,2021-03-28,Nebraska,31,208867,2281
21494,2021-03-28,Nevada,32,303093,5236
21495,2021-03-28,New Hampshire,33,83027,1237
21496,2021-03-28,New Jersey,34,896650,24389
21497,2021-03-28,New Mexico,35,191048,3927
21498,2021-03-28,New York,36,1849190,49537
21499,2021-03-28,North Carolina,37,911060,12051
21500,2021-03-28,North Dakota,38,102615,1498
21502,2021-03-28,Ohio,39,1011622,18526
21503,2021-03-28,Oklahoma,40,436971,4850
21504,2021-03-28,Oregon,41,163952,2386
21505,2021-03-28,Pennsylvania,42,1016713,25058
21507,2021-03-28,Rhode Island,44,135775,2608
21508,2021-03-28,South Carolina,45,549199,9122
21509,2021-03-28,South Dakota,46,117244,1933
21510,2021-03-28,Tennessee,47,792811,11713
21511,2021-03-28,Texas,48,2782961,48263
21512,2021-03-28,Utah,49,384621,2114
21513,2021-03-28,Vermont,50,18820,225
21515,2021-03-28,Virginia,51,615366,10198
21516,2021-03-28,Washington,53,363659,5288
21517,2021-03-28,West Virginia,54,140613,2634
21518,2021-03-28,Wisconsin,55,634317,7275
21519,2021-03-28,Wyoming,56,56046,695
21476,2021-03-28,Guam,66,8769,135
21501,2021-03-28,Northern Mariana Islands,69,159,2
21506,2021-03-28,Puerto Rico,72,140103,2112
21514,2021-03-28,Virgin Islands,78,2907,26
