,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-26,Androscoggin,Maine,23001,5188,58,0.083,0.099,0.041,0.199,0.577
1,2021-03-26,Aroostook,Maine,23003,1380,44,0.143,0.047,0.12,0.243,0.447
2,2021-03-26,Cumberland,Maine,23005,13728,185,0.05,0.053,0.046,0.182,0.669
3,2021-03-26,Franklin,Maine,23007,973,13,0.006,0.063,0.191,0.161,0.579
4,2021-03-26,Hancock,Maine,23009,1017,35,0.034,0.052,0.118,0.202,0.594
5,2021-03-26,Kennebec,Maine,23011,4185,54,0.016,0.074,0.125,0.245,0.54
6,2021-03-26,Knox,Maine,23013,792,5,0.007,0.01,0.111,0.248,0.625
7,2021-03-26,Lincoln,Maine,23015,642,2,0.031,0.014,0.065,0.204,0.688
8,2021-03-26,Oxford,Maine,23017,2480,54,0.069,0.065,0.064,0.213,0.589
9,2021-03-26,Penobscot,Maine,23019,4489,87,0.038,0.071,0.085,0.189,0.617
10,2021-03-26,Piscataquis,Maine,23021,375,3,0.062,0.146,0.123,0.189,0.479
11,2021-03-26,Sagadahoc,Maine,23023,958,6,0.061,0.026,0.033,0.216,0.664
12,2021-03-26,Somerset,Maine,23025,1341,27,0.035,0.095,0.142,0.17,0.558
13,2021-03-26,Waldo,Maine,23027,687,19,0.023,0.06,0.15,0.182,0.585
14,2021-03-26,Washington,Maine,23029,758,14,0.026,0.032,0.126,0.204,0.612
15,2021-03-26,York,Maine,23031,10449,125,0.076,0.036,0.061,0.173,0.655
16,2021-03-26,Unknown,Maine,,1,0,,,,,
