,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,pop,density
22,Massachusetts,25,582844,16182,21822,0.5970580148474017,0.705068279717716,6912240,886.1846
23,Michigan,26,648990,16534,27477,0.905448193034174,1.3659424245732794,9992430,176.7352
24,Minnesota,27,485723,6558,13271,0.6258006178886294,0.803255218144827,5706400,71.6641
25,Mississippi,28,295295,6724,5955,0.33383711167086483,0.27204030226700254,2966410,63.2187
26,Missouri,29,518029,8402,57539,0.07035228279949252,0.0850901127930621,6169040,89.7419
27,Montana,30,100272,1373,2197,0.5052344105598543,0.3991807009558489,1085000,7.4547
28,Nebraska,31,201894,2210,3752,0.4677505330490405,0.5525053304904051,1952000,25.4087
29,Nevada,32,294336,4972,5551,0.2940010808863268,0.36281751035849397,3185790,29.0195
30,New Hampshire,33,75803,1170,3267,0.6311600857055403,0.7903275176002449,1372200,153.2671
31,New Jersey,34,795785,23321,48778,0.6002091106646439,0.64176473000123,8874520,1206.7609
32,New Mexico,35,185542,3742,3122,0.4484304932735426,0.4205637411915439,2105000,17.354
33,New York,36,1656941,47345,98509,0.39879604909196115,0.7022404044300521,19300000,409.5404
34,North Carolina,37,867866,11320,24697,0.4880349840061546,0.5328987326395919,10701000,220.1037
35,North Dakota,38,99987,1477,1194,0.5988274706867671,0.8509212730318257,770026,11.1596
36,Ohio,39,970583,16750,21640,0.48978743068391867,0.5894177449168208,11714600,286.6939
37,Oklahoma,40,424999,4534,8026,0.32506852728631946,0.2915524545228009,3990440,58.1739
38,Oregon,41,156088,2231,3996,0.5047547547547547,0.6208708708708709,4289440,44.6873
39,Pennsylvania,42,940811,24135,35061,0.6095947063688999,0.8189441259519123,12804100,286.1699
40,Rhode Island,44,126849,2525,4901,0.5276474188941033,0.4956131401754744,3194370,923.4952
41,South Carolina,45,518823,8576,16046,0.5012464165524119,0.4834226598529228,1061510,1026.6054
42,South Dakota,46,112652,1888,2139,0.6119682094436653,0.6521739130434783,5277830,175.5707
43,Tennessee,47,762964,11342,16924,0.5117584495391161,0.4621838808792248,896581,11.8265
44,Texas,48,2668665,44353,69554,0.35266124162521206,0.3907898898697415,6944260,168.4069
45,Utah,49,372035,1949,7104,0.43496621621621623,0.41624436936936937,29730300,113.808
46,Vermont,50,15372,206,1675,0.528955223880597,0.702089552238806,3310770,40.2917
47,Virginia,51,578559,8943,18582,0.543160047357658,0.5762027768808524,623251,67.6197
48,Washington,53,344516,5056,9465,0.5609086106708928,0.689487585842578,8603980,217.8774
49,West Virginia,54,132184,2301,3835,0.6284224250325945,0.754367666232073,7796940,117.3248
50,Wisconsin,55,618310,7055,8227,0.42579312021392973,0.6664640816822657,1767860,73.5444
51,Wyoming,56,54527,682,825,0.5418181818181819,0.5296969696969697,5852490,108.0633
52,Puerto Rico,72,134350,2040,2543,0.6331104994101455,0.8718049547778215,581075,5.9847
53,Alabama,01,436087,6486,33232,0.2812951372171401,0.19694872412132883,4934190,97.427
54,Alaska,02,52572,245,2308,0.48873483535528595,0.4207105719237435,724357,1.2694
55,Arizona,04,710273,12014,66765,0.25741031977832696,0.16195611473077212,7520100,66.2016
56,Arkansas,05,281382,4549,23341,0.2949745083758194,0.1330277194636048,3033950,58.3059
57,California,06,3141303,36326,254379,0.2933418246003011,0.2002052056183883,39613500,254.2929
